ts_code,oos_year,stem,oos_effect,train_years
399001.SZ,2013,甲,0.0016891159782439014,3
399001.SZ,2013,乙,0.0021055598122448798,3
399001.SZ,2013,丙,-0.006548500292977037,3
399001.SZ,2013,丁,0.0019558639516040377,3
399001.SZ,2013,戊,0.003408074455376263,3
399001.SZ,2013,己,-0.002216666757003495,3
399001.SZ,2013,庚,0.0024844649928923244,3
399001.SZ,2013,辛,-0.00396953151165918,3
399001.SZ,2013,壬,0.0033562715548944876,3
399001.SZ,2013,癸,-0.002264652183616182,3
399001.SZ,2014,甲,-0.0033887024956115426,3
399001.SZ,2014,乙,0.002736590717680367,3
399001.SZ,2014,丙,-0.002054842079872749,3
399001.SZ,2014,丁,-0.00022853642925705947,3
399001.SZ,2014,戊,-0.002581960750018992,3
399001.SZ,2014,己,-0.0015535472774625449,3
399001.SZ,2014,庚,-0.002469130148020316,3
399001.SZ,2014,辛,0.0012007346857166761,3
399001.SZ,2014,壬,0.003941260063287802,3
399001.SZ,2014,癸,0.00439813371355836,3
399001.SZ,2015,甲,-0.006780307433931832,3
399001.SZ,2015,乙,0.0031474120146024387,3
399001.SZ,2015,丙,-0.0010741816757060011,3
399001.SZ,2015,丁,0.015276877695631939,3
399001.SZ,2015,戊,0.0013774351538991844,3
399001.SZ,2015,己,-0.000994155311935522,3
399001.SZ,2015,庚,-0.0020697929802880903,3
399001.SZ,2015,辛,0.002485559642324952,3
399001.SZ,2015,壬,-0.0015032566739062452,3
399001.SZ,2015,癸,-0.009865590430690824,3
399001.SZ,2016,甲,0.001744318117577351,3
399001.SZ,2016,乙,0.0010354913982206398,3
399001.SZ,2016,丙,-0.001054763263422024,3
399001.SZ,2016,丁,-0.003507127650428499,3
399001.SZ,2016,戊,-0.0004517261800313947,3
399001.SZ,2016,己,0.002428006433593719,3
399001.SZ,2016,庚,-0.0003537360902247505,3
399001.SZ,2016,辛,-0.002558031511323643,3
399001.SZ,2016,壬,-0.0029455337454176852,3
399001.SZ,2016,癸,0.005663102491456286,3
399001.SZ,2017,甲,0.0007928583518267767,3
399001.SZ,2017,乙,-0.0036894217661055584,3
399001.SZ,2017,丙,-0.0016783124502862986,3
399001.SZ,2017,丁,0.003501481939444158,3
399001.SZ,2017,戊,-0.0021040475547743666,3
399001.SZ,2017,己,0.0005196149517099097,3
399001.SZ,2017,庚,0.0003323870310969091,3
399001.SZ,2017,辛,-3.000311866470365e-05,3
399001.SZ,2017,壬,0.002750936140009962,3
399001.SZ,2017,癸,-0.0003954935242567889,3
399001.SZ,2018,甲,-0.0016670196487259465,3
399001.SZ,2018,乙,0.0016168175937182993,3
399001.SZ,2018,丙,-0.0006783051038868045,3
399001.SZ,2018,丁,0.0032726311609028173,3
399001.SZ,2018,戊,0.0011183197863260381,3
399001.SZ,2018,己,-0.00013223481542458263,3
399001.SZ,2018,庚,-0.002172939585472318,3
399001.SZ,2018,辛,0.0011426926649545904,3
399001.SZ,2018,壬,-0.0037982389720962037,3
399001.SZ,2018,癸,0.00129827691970411,3
399001.SZ,2019,甲,-0.0015597226124843904,3
399001.SZ,2019,乙,0.000129145989916746,3
399001.SZ,2019,丙,-0.001987957618942014,3
399001.SZ,2019,丁,0.003400867218067472,3
399001.SZ,2019,戊,0.0039173232224313185,3
399001.SZ,2019,己,0.001453961958667762,3
399001.SZ,2019,庚,-0.0022400656657672823,3
399001.SZ,2019,辛,0.0009483002814130986,3
399001.SZ,2019,壬,-0.0017404513224929755,3
399001.SZ,2019,癸,-0.0023214014508097383,3
399001.SZ,2020,甲,0.0016658946176073205,3
399001.SZ,2020,乙,-0.0010001029942112425,3
399001.SZ,2020,丙,-0.004622434995744091,3
399001.SZ,2020,丁,0.004932927452864647,3
399001.SZ,2020,戊,-0.0031814102652635945,3
399001.SZ,2020,己,-0.00021637292916308333,3
399001.SZ,2020,庚,0.00015908210703255237,3
399001.SZ,2020,辛,-0.00302357264284432,3
399001.SZ,2020,壬,0.003093140023781123,3
399001.SZ,2020,癸,0.002192849625940686,3
399001.SZ,2021,甲,0.0008474261509619887,3
399001.SZ,2021,乙,-0.004036777804031692,3
399001.SZ,2021,丙,-0.004046800206153348,3
399001.SZ,2021,丁,-0.0011615081601284959,3
399001.SZ,2021,戊,0.003957008772304906,3
399001.SZ,2021,己,0.00243003125800381,3
399001.SZ,2021,庚,0.002514103980714756,3
399001.SZ,2021,辛,-0.0020139031994516462,3
399001.SZ,2021,壬,-0.0005101848996763951,3
399001.SZ,2021,癸,0.002020604107456114,3
399001.SZ,2022,甲,-0.001833046559872395,3
399001.SZ,2022,乙,-0.0015911950711844551,3
399001.SZ,2022,丙,-0.004056415542153972,3
399001.SZ,2022,丁,-0.0031286684765473283,3
399001.SZ,2022,戊,0.0012826971337600726,3
399001.SZ,2022,己,-0.0022264383853707035,3
399001.SZ,2022,庚,0.0018368856094635056,3
399001.SZ,2022,辛,0.0018738089540642996,3
399001.SZ,2022,壬,0.0064332142593154056,3
399001.SZ,2022,癸,0.0014091580785255708,3
399001.SZ,2023,甲,-0.00025061562471682367,3
399001.SZ,2023,乙,-0.001742408790051977,3
399001.SZ,2023,丙,-0.0021257530333250838,3
399001.SZ,2023,丁,-0.0009169686779723946,3
399001.SZ,2023,戊,0.003200713921198757,3
399001.SZ,2023,己,-3.5367815334330015e-05,3
399001.SZ,2023,庚,0.0015462272108087527,3
399001.SZ,2023,辛,-0.0009742297096043007,3
399001.SZ,2023,壬,0.00034752446771526175,3
399001.SZ,2023,癸,0.000950878051282138,3
399001.SZ,2024,甲,0.0015879862186502164,3
399001.SZ,2024,乙,0.005086860837400847,3
399001.SZ,2024,丙,-0.003950889910357816,3
399001.SZ,2024,丁,0.002626398600605883,3
399001.SZ,2024,戊,-0.0038134454390278054,3
399001.SZ,2024,己,-0.0032702624271348573,3
399001.SZ,2024,庚,-0.0016419168591974456,3
399001.SZ,2024,辛,0.006172159433018484,3
399001.SZ,2024,壬,-0.004283343286213986,3
399001.SZ,2024,癸,0.0014864528322564782,3
399001.SZ,2025,甲,-0.0022861893910435228,3
399001.SZ,2025,乙,-0.0007161869725333974,3
399001.SZ,2025,丙,-0.002208733411243618,3
399001.SZ,2025,丁,0.002010070990516803,3
399001.SZ,2025,戊,-0.0021548034361640826,3
399001.SZ,2025,己,0.0016683794994269174,3
399001.SZ,2025,庚,0.00047686231927508813,3
399001.SZ,2025,辛,-4.777494211702371e-05,3
399001.SZ,2025,壬,-0.0011579836560975773,3
399001.SZ,2025,癸,0.004416358999980412,3
399001.SZ,2015,甲,-0.006575962267252416,5
399001.SZ,2015,乙,0.0031056374943212307,5
399001.SZ,2015,丙,-0.001050596086169365,5
399001.SZ,2015,丁,0.015230333014200667,5
399001.SZ,2015,戊,0.0011895521687998339,5
399001.SZ,2015,己,-0.0010334149358109084,5
399001.SZ,2015,庚,-0.001996825664211296,5
399001.SZ,2015,辛,0.0024800833935325023,5
399001.SZ,2015,壬,-0.0016157908175234122,5
399001.SZ,2015,癸,-0.009733016299886833,5
399001.SZ,2016,甲,0.0016966047244699372,5
399001.SZ,2016,乙,0.0011132506891685314,5
399001.SZ,2016,丙,-0.001251515293267239,5
399001.SZ,2016,丁,-0.0036168641870480277,5
399001.SZ,2016,戊,-0.000477669134618417,5
399001.SZ,2016,己,0.002416478928493391,5
399001.SZ,2016,庚,-0.0004967713263157545,5
399001.SZ,2016,辛,-0.0025748925389482537,5
399001.SZ,2016,壬,-0.002573472039125149,5
399001.SZ,2016,癸,0.005764850177190982,5
399001.SZ,2017,甲,0.0009675989299317471,5
399001.SZ,2017,乙,-0.0037714850667888242,5
399001.SZ,2017,丙,-0.0016520567805875055,5
399001.SZ,2017,丁,0.0036486308691755214,5
399001.SZ,2017,戊,-0.002099468911256716,5
399001.SZ,2017,己,0.0007217359044165421,5
399001.SZ,2017,庚,0.0003102682162524744,5
399001.SZ,2017,辛,-0.0002195897637081544,5
399001.SZ,2017,壬,0.0025235101223567966,5
399001.SZ,2017,癸,-0.00042914351979188195,5
399001.SZ,2018,甲,-0.0015650812511421154,5
399001.SZ,2018,乙,0.0016181575511842474,5
399001.SZ,2018,丙,-0.0007183710364826446,5
399001.SZ,2018,丁,0.0031856365450973903,5
399001.SZ,2018,戊,0.0012106700353172514,5
399001.SZ,2018,己,-8.943189674520224e-05,5
399001.SZ,2018,庚,-0.002070911956889564,5
399001.SZ,2018,辛,0.0012080660176428631,5
399001.SZ,2018,壬,-0.003891774658871097,5
399001.SZ,2018,癸,0.0011130406508888715,5
399001.SZ,2019,甲,-0.0015541747930405013,5
399001.SZ,2019,乙,0.0002108357505152124,5
399001.SZ,2019,丙,-0.002017097036034106,5
399001.SZ,2019,丁,0.0033349396019842423,5
399001.SZ,2019,戊,0.003862915255584046,5
399001.SZ,2019,己,0.0014683019221324622,5
399001.SZ,2019,庚,-0.002255805985669438,5
399001.SZ,2019,辛,0.0007565811401587629,5
399001.SZ,2019,壬,-0.0014844504428606967,5
399001.SZ,2019,癸,-0.002322045412769983,5
399001.SZ,2020,甲,0.0018020773078064618,5
399001.SZ,2020,乙,-0.0009423625543329536,5
399001.SZ,2020,丙,-0.004716347136169256,5
399001.SZ,2020,丁,0.004987055211034211,5
399001.SZ,2020,戊,-0.003082865994190006,5
399001.SZ,2020,己,-0.00027056569806985014,5
399001.SZ,2020,庚,0.00013309413185628506,5
399001.SZ,2020,辛,-0.003104207836322994,5
399001.SZ,2020,壬,0.0030249364377544436,5
399001.SZ,2020,癸,0.0021691861306336584,5
399001.SZ,2021,甲,0.0008697851445219648,5
399001.SZ,2021,乙,-0.003961266379204413,5
399001.SZ,2021,丙,-0.004003623188883569,5
399001.SZ,2021,丁,-0.0010695088938666888,5
399001.SZ,2021,戊,0.0038826768782965586,5
399001.SZ,2021,己,0.002376698183085479,5
399001.SZ,2021,庚,0.002412268954195022,5
399001.SZ,2021,辛,-0.0021990053936166284,5
399001.SZ,2021,壬,-0.00039311032683155516,5
399001.SZ,2021,癸,0.0020850850223038293,5
399001.SZ,2022,甲,-0.0018016445925443435,5
399001.SZ,2022,乙,-0.0016163199980362118,5
399001.SZ,2022,丙,-0.004098940072398878,5
399001.SZ,2022,丁,-0.003114084676174656,5
399001.SZ,2022,戊,0.0013262497804345306,5
399001.SZ,2022,己,-0.0022294573329993857,5
399001.SZ,2022,庚,0.0018314198899103016,5
399001.SZ,2022,辛,0.0019180430428402577,5
399001.SZ,2022,壬,0.00645213259359531,5
399001.SZ,2022,癸,0.0013326013653730726,5
399001.SZ,2023,甲,-0.000237776321676275,5
399001.SZ,2023,乙,-0.001666181137621187,5
399001.SZ,2023,丙,-0.0022660410101638068,5
399001.SZ,2023,丁,-0.0010067536419258942,5
399001.SZ,2023,戊,0.00323028376989236,5
399001.SZ,2023,己,-2.891405877725943e-06,5
399001.SZ,2023,庚,0.0015889147133469495,5
399001.SZ,2023,辛,-0.0009765210421964542,5
399001.SZ,2023,壬,0.00043712838394238093,5
399001.SZ,2023,癸,0.000899837692279653,5
399001.SZ,2024,甲,0.0017352118583289116,5
399001.SZ,2024,乙,0.004979897124857762,5
399001.SZ,2024,丙,-0.004000571547664336,5
399001.SZ,2024,丁,0.002729475414604336,5
399001.SZ,2024,戊,-0.0037605511444969092,5
399001.SZ,2024,己,-0.0033549135369687773,5
399001.SZ,2024,庚,-0.0017368133960099562,5
399001.SZ,2024,辛,0.006136660026717512,5
399001.SZ,2024,壬,-0.004285916995279302,5
399001.SZ,2024,癸,0.0015575221959107592,5
399001.SZ,2025,甲,-0.002151848862663796,5
399001.SZ,2025,乙,-0.0006994122493772575,5
399001.SZ,2025,丙,-0.0022655818158660483,5
399001.SZ,2025,丁,0.002105020874168917,5
399001.SZ,2025,戊,-0.00209647031489978,5
399001.SZ,2025,己,0.0016056672372652516,5
399001.SZ,2025,庚,0.00041713991765395626,5
399001.SZ,2025,辛,-2.607118518389807e-05,5
399001.SZ,2025,壬,-0.0012272477946048321,5
399001.SZ,2025,癸,0.004338804193507486,5
399001.SZ,2017,甲,0.001009078486829987,7
399001.SZ,2017,乙,-0.003775491058997642,7
399001.SZ,2017,丙,-0.0016941479817804178,7
399001.SZ,2017,丁,0.0036413246165214403,7
399001.SZ,2017,戊,-0.002031269144864737,7
399001.SZ,2017,己,0.0007440110736998288,7
399001.SZ,2017,庚,0.00022487329743782307,7
399001.SZ,2017,辛,-0.0002831330211143172,7
399001.SZ,2017,壬,0.0026423359522468274,7
399001.SZ,2017,癸,-0.000477582219978792,7
399001.SZ,2018,甲,-0.0015944648497024086,7
399001.SZ,2018,乙,0.0015565536152659315,7
399001.SZ,2018,丙,-0.0007577915686940622,7
399001.SZ,2018,丁,0.003193430017537068,7
399001.SZ,2018,戊,0.0012843980140679774,7
399001.SZ,2018,己,-0.00011660447293817254,7
399001.SZ,2018,庚,-0.0020238364881230335,7
399001.SZ,2018,辛,0.0011320927524506182,7
399001.SZ,2018,壬,-0.003911801246815408,7
399001.SZ,2018,癸,0.0012380242269514887,7
399001.SZ,2019,甲,-0.001461091043766996,7
399001.SZ,2019,乙,0.00017916198617071123,7
399001.SZ,2019,丙,-0.0020985025653735417,7
399001.SZ,2019,丁,0.0032936726240736973,7
399001.SZ,2019,戊,0.0038448051807856666,7
399001.SZ,2019,己,0.0014101454341213999,7
399001.SZ,2019,庚,-0.0023258360939646047,7
399001.SZ,2019,辛,0.0007732723817976169,7
399001.SZ,2019,壬,-0.0013690742533658971,7
399001.SZ,2019,癸,-0.002246553650478053,7
399001.SZ,2020,甲,0.0017804046251828228,7
399001.SZ,2020,乙,-0.000985994890849375,7
399001.SZ,2020,丙,-0.004600316447551631,7
399001.SZ,2020,丁,0.004960043364477547,7
399001.SZ,2020,戊,-0.0030462915716981858,7
399001.SZ,2020,己,-0.00026380348312881317,7
399001.SZ,2020,庚,1.1153372446687498e-05,7
399001.SZ,2020,辛,-0.003184373392538441,7
399001.SZ,2020,壬,0.002992335698757973,7
399001.SZ,2020,癸,0.0023368427249014162,7
399001.SZ,2021,甲,0.0008320353469749813,7
399001.SZ,2021,乙,-0.0041039230339826325,7
399001.SZ,2021,丙,-0.004038795471190953,7
399001.SZ,2021,丁,-0.0009053046383318985,7
399001.SZ,2021,戊,0.003930145133887492,7
399001.SZ,2021,己,0.002239802644186959,7
399001.SZ,2021,庚,0.0025281642695367014,7
399001.SZ,2021,辛,-0.0021344927093478734,7
399001.SZ,2021,壬,-0.0005123527918011145,7
399001.SZ,2021,癸,0.002164721250068338,7
399001.SZ,2022,甲,-0.0018812179397720264,7
399001.SZ,2022,乙,-0.0016046061210827035,7
399001.SZ,2022,丙,-0.004185354544100099,7
399001.SZ,2022,丁,-0.0030884261205968862,7
399001.SZ,2022,戊,0.001404279130922116,7
399001.SZ,2022,己,-0.002217075864047283,7
399001.SZ,2022,庚,0.0018529132174257604,7
399001.SZ,2022,辛,0.0020143383815834116,7
399001.SZ,2022,壬,0.00648526210079127,7
399001.SZ,2022,癸,0.001219887758876439,7
399001.SZ,2023,甲,-0.00026710245760418736,7
399001.SZ,2023,乙,-0.0016790305292573497,7
399001.SZ,2023,丙,-0.002241949806602448,7
399001.SZ,2023,丁,-0.0009768873467997392,7
399001.SZ,2023,戊,0.0032106313155973254,7
399001.SZ,2023,己,1.560423105746874e-05,7
399001.SZ,2023,庚,0.0015705195295014724,7
399001.SZ,2023,辛,-0.0010575365370376474,7
399001.SZ,2023,壬,0.0004722587846146669,7
399001.SZ,2023,癸,0.0009534928165304396,7
399001.SZ,2024,甲,0.001726121195723221,7
399001.SZ,2024,乙,0.005004601855372015,7
399001.SZ,2024,丙,-0.003952114651299391,7
399001.SZ,2024,丁,0.0026803564271754843,7
399001.SZ,2024,戊,-0.0037624838239415127,7
399001.SZ,2024,己,-0.0033603547545200747,7
399001.SZ,2024,庚,-0.001776055397069557,7
399001.SZ,2024,辛,0.006111570278522831,7
399001.SZ,2024,壬,-0.004267973420839908,7
399001.SZ,2024,癸,0.0015963322908768894,7
399001.SZ,2025,甲,-0.002156236357056189,7
399001.SZ,2025,乙,-0.0007773586634328477,7
399001.SZ,2025,丙,-0.002278995260432304,7
399001.SZ,2025,丁,0.00216682207347071,7
399001.SZ,2025,戊,-0.002081374306215577,7
399001.SZ,2025,己,0.0015507625866698937,7
399001.SZ,2025,庚,0.0004903482454791826,7
399001.SZ,2025,辛,-1.4585898587324893e-05,7
399001.SZ,2025,壬,-0.0013041678972654889,7
399001.SZ,2025,癸,0.004404785477369945,7
